
1|10|16:53
3|50|16:53
2|61|16:53
10|60|16:54
10|14|16:54
7|85|16:54
12|71|16:54
10|11|16:54
8|16|16:54
14|84|16:54
8|95|16:55
1|42|16:55
10|40|16:57
13|46|16:57
8|63|16:57
1|29|16:57
6|55|16:57
4|94|16:58
2|32|16:58
11|40|20:51
6|6|20:51
13|18|20:53
11|57|20:53
10|40|20:53
1|53|20:53
1|68|20:53
5|21|20:54
7|21|20:54
0|66|20:54
5|54|20:54
10|84|20:54
14|94|20:54
14|29|20:54
13|4|20:55
9|0|20:55
14|78|20:55
5|48|20:55
9|36|20:55
7|54|20:55
1|64|20:55
7|2|20:55
9|36|20:55
2|47|20:56
11|19|20:56
10|64|20:56
13|22|20:56
11|40|20:56
4|89|20:56
13|40|20:56
8|52|20:56
4|74|20:56
2|35|20:56
3|98|20:57
14|77|20:57
12|59|20:57
0|92|20:57
6|48|21:00
14|80|21:00
2|16|21:00
3|76|21:00
3|54|21:00
12|10|21:01
6|57|21:01
13|26|21:01
14|55|21:01
9|1|21:01
6|89|21:01
11|81|21:01
5|53|21:01
6|71|21:01
14|0|21:01
0|67|21:01
5|4|21:02
3|94|21:02
11|23|21:10
14|5|21:11
12|34|21:11
0|95|21:11
12|72|21:11
12|60|21:11
6|7|21:11
5|16|21:11
14|23|21:12
13|88|21:12
6|67|21:12
12|26|21:12
1|22|21:12
6|50|21:12
1|14|21:12
7|65|21:12
4|57|21:12
13|35|21:12
0|61|21:12
2|76|21:13
1|22|21:19
11|41|21:20
1|13|21:20
2|49|21:21
12|73|21:21
3|86|21:21
4|87|21:21
5|45|21:21
2|82|21:21
5|40|21:21
14|84|21:21
10|94|21:21
5|0|21:22
7|32|21:22
4|11|21:22
6|71|21:23
12|52|21:23
1|73|21:23
7|19|21:23
0|59|21:23
13|21|21:23
1|46|21:23
13|86|21:23
12|17|21:23
4|87|21:23
8|97|21:23
1|65|21:25
10|62|21:25
7|18|21:25
4|33|21:26
6|8|21:26
4|10|21:27
0|57|21:28
12|29|21:28
7|63|21:28
4|88|21:29
3|27|21:29
1|9|21:29
14|54|21:29
5|36|21:29
0|68|21:32
12|40|21:32
7|95|21:32
8|54|21:32
7|92|21:32
8|27|21:32
0|34|21:32
5|23|21:32
3|93|21:32
2|9|21:32
13|43|21:32
7|99|21:33
2|37|21:33
1|96|21:33
8|60|21:33
4|50|21:34
0|74|21:34
5|31|21:34
14|89|21:34
5|91|21:34
3|96|21:34
0|17|21:34
12|8|21:34
10|74|21:34
13|89|21:34
3|79|21:34
6|24|21:35
14|58|21:35
11|46|21:35
10|12|21:35
11|96|21:35
4|6|21:36
10|9|21:36
4|59|21:36
4|74|21:36
5|38|21:36
13|60|21:36
8|73|21:37
14|64|21:37
6|45|21:37
8|47|21:37
10|68|21:37
5|5|21:38
10|71|21:38
0|76|21:38
10|61|21:38
8|63|21:38
0|43|21:38
2|2|21:39
9|5|21:39
13|38|21:39
4|57|21:39
6|54|21:39
0|60|21:39
7|38|21:39
8|34|21:39
0|88|21:39
9|76|21:39
7|68|21:39
1|2|21:39
1|72|21:39
5|80|21:40
11|73|21:40
13|32|21:40
10|55|21:40
14|51|21:40
14|58|21:40
6|34|21:41
11|80|21:41
7|4|21:41
4|65|21:41
10|37|21:41
14|18|21:41
10|71|21:41
6|24|21:41
0|54|21:41
4|45|21:41
1|86|21:41
4|95|21:42
12|38|21:42
5|98|21:42
1|67|21:42
8|99|21:42
5|58|21:42
2|92|21:43
6|41|21:43
12|9|21:43
14|33|21:43
9|89|21:43
14|40|21:43
8|33|21:43
11|80|21:45
3|99|21:46
6|58|21:46
14|41|21:46
3|53|21:46
9|57|21:46
14|99|21:46
8|62|21:46
12|27|21:46
0|50|21:46
3|5|21:46
3|20|21:46
9|66|21:46
1|80|21:46
2|15|21:47
1|30|21:47
14|57|21:47
3|33|21:47
13|18|21:47
14|6|21:49
7|97|21:49
7|75|21:49
3|48|21:49
7|94|22:39
6|54|22:39
12|0|22:44
5|58|22:44
7|8|22:44
14|44|22:44
2|94|22:45
10|9|22:45
14|48|22:45
4|43|22:45
12|75|22:45
9|49|22:45
2|9|22:45
5|59|22:45
13|5|22:45
4|91|22:54
9|77|22:54
8|67|22:54
10|1|22:54
14|8|22:54
7|78|22:55
4|16|22:56
4|72|22:56
12|24|22:56
8|17|22:56
5|54|22:56
10|87|22:56
2|92|22:56
6|39|22:57
9|47|22:57
1|64|22:57
14|30|22:57
3|86|22:57
4|46|22:57
14|53|22:58
2|60|22:58
13|11|22:58
10|59|22:58
8|84|22:59
11|55|22:59
0|63|22:59
2|1|22:59
7|38|22:59
12|8|22:59
6|96|22:59
1|35|22:59
5|74|22:59
4|77|22:59
4|33|22:59
4|18|22:59
12|90|23:00
10|74|23:00
6|80|23:00
0|74|23:01
0|44|23:01
12|58|23:01
3|78|23:01
8|27|23:02
14|93|23:02
5|94|23:02
2|94|23:02
12|55|23:02
10|47|23:02
8|54|23:02
13|61|23:02
5|49|23:02
2|10|23:03
4|77|23:03
13|65|23:04
13|68|23:04
11|32|23:04
2|49|23:05
1|62|23:05
1|66|23:05
4|89|23:05
5|31|23:07
6|74|23:07
6|19|23:07
3|3|23:07
9|18|23:07
11|48|23:07
14|36|23:07
5|29|23:07
3|45|23:07
3|1|23:10
5|7|23:10
12|64|23:10
0|75|23:10
10|53|23:10
10|15|23:11
8|72|23:11
11|39|23:11
4|64|23:11
9|96|23:11
3|64|23:11
13|50|23:11
11|30|23:11
10|91|23:11
7|81|23:11
0|13|23:11
12|24|23:11
0|30|23:12
1|44|23:12
0|10|23:12
4|18|23:12
12|79|23:12
11|62|23:12
3|67|23:12
7|51|23:13
7|84|23:13
6|4|23:13
6|98|23:13
2|57|23:14
0|76|23:14
5|63|23:14
7|2|23:14
10|4|23:14
5|56|23:14
6|96|23:14
13|11|23:14
7|45|23:15
9|38|23:15
7|54|23:15
6|49|23:15
14|72|23:15
3|55|23:15
6|71|23:15
13|83|23:15
7|80|23:21
11|72|23:21
0|6|23:21
